URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,sample,mean_travel_time_minutes,mean_travel_time_seconds
http://localhost:8072/aggregate-travel-times/30357505/30345882/0/1/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 00:00 to 01:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,53,6.040721858,362.4433115
http://localhost:8072/aggregate-travel-times/30357505/30345882/0/1/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 00:00 to 01:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,3,4.73508363,284.1050178
http://localhost:8072/aggregate-travel-times/30357505/30345882/1/2/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 01:00 to 02:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,28,5.843121751,350.5873051
http://localhost:8072/aggregate-travel-times/30357505/30345882/1/2/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 01:00 to 02:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,5,4.614837542,276.8902525
http://localhost:8072/aggregate-travel-times/30357505/30345882/2/3/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 02:00 to 03:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,39,6.394217608,383.6530565
http://localhost:8072/aggregate-travel-times/30357505/30345882/2/3/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 02:00 to 03:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,6,5.677205966,340.6323579
http://localhost:8072/aggregate-travel-times/30357505/30345882/3/4/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 03:00 to 04:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,30,5.847158777,350.8295266
http://localhost:8072/aggregate-travel-times/30357505/30345882/3/4/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 03:00 to 04:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,1,5.762290763,345.7374458
http://localhost:8072/aggregate-travel-times/30357505/30345882/4/5/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 04:00 to 05:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,63,6.24122148,374.4732888
http://localhost:8072/aggregate-travel-times/30357505/30345882/4/5/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 04:00 to 05:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,2,4.83371429,290.0228574
http://localhost:8072/aggregate-travel-times/30357505/30345882/5/6/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 05:00 to 06:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,73,6.638443178,398.3065907
http://localhost:8072/aggregate-travel-times/30357505/30345882/5/6/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 05:00 to 06:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,0,,
http://localhost:8072/aggregate-travel-times/30357505/30345882/6/7/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 06:00 to 07:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,61,7.114239147,426.8543488
http://localhost:8072/aggregate-travel-times/30357505/30345882/6/7/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 06:00 to 07:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,11,5.79191316,347.5147896
http://localhost:8072/aggregate-travel-times/30357505/30345882/7/8/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 07:00 to 08:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,74,7.980993393,478.8596036
http://localhost:8072/aggregate-travel-times/30357505/30345882/7/8/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 07:00 to 08:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,52,6.518557223,391.1134334
http://localhost:8072/aggregate-travel-times/30357505/30345882/8/9/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 08:00 to 09:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,82,9.829945022,589.7967013
http://localhost:8072/aggregate-travel-times/30357505/30345882/8/9/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 08:00 to 09:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,46,7.811034004,468.6620402
http://localhost:8072/aggregate-travel-times/30357505/30345882/9/10/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 09:00 to 10:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,84,9.728377507,583.7026504
http://localhost:8072/aggregate-travel-times/30357505/30345882/9/10/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 09:00 to 10:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,50,8.170473767,490.228426
http://localhost:8072/aggregate-travel-times/30357505/30345882/10/11/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 10:00 to 11:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,83,9.563343215,573.8005929
http://localhost:8072/aggregate-travel-times/30357505/30345882/10/11/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 10:00 to 11:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,54,8.187591795,491.2555077
http://localhost:8072/aggregate-travel-times/30357505/30345882/11/12/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 11:00 to 12:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,83,10.39343261,623.6059569
http://localhost:8072/aggregate-travel-times/30357505/30345882/11/12/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 11:00 to 12:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,49,7.924742168,475.4845301
http://localhost:8072/aggregate-travel-times/30357505/30345882/12/13/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 12:00 to 13:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,90,10.99390759,659.6344556
http://localhost:8072/aggregate-travel-times/30357505/30345882/12/13/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 12:00 to 13:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,69,7.895415273,473.7249164
http://localhost:8072/aggregate-travel-times/30357505/30345882/13/14/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 13:00 to 14:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,88,10.43476599,626.0859595
http://localhost:8072/aggregate-travel-times/30357505/30345882/13/14/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 13:00 to 14:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,63,8.004522814,480.2713688
http://localhost:8072/aggregate-travel-times/30357505/30345882/14/15/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 14:00 to 15:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,84,10.4445332,626.671992
http://localhost:8072/aggregate-travel-times/30357505/30345882/14/15/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 14:00 to 15:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,72,8.01582305,480.949383
http://localhost:8072/aggregate-travel-times/30357505/30345882/15/16/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 15:00 to 16:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,84,12.34426719,740.6560315
http://localhost:8072/aggregate-travel-times/30357505/30345882/15/16/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 15:00 to 16:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,81,8.658645458,519.5187275
http://localhost:8072/aggregate-travel-times/30357505/30345882/16/17/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 16:00 to 17:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,83,12.54962905,752.9777427
http://localhost:8072/aggregate-travel-times/30357505/30345882/16/17/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 16:00 to 17:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,88,7.957689852,477.4613911
