URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,sample,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-02-01/2024-03-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-02-01 to 2024-03-01","weekdays",false,60,60,13.502232811402887,810.1339686841733,784.4191038598558,838.6395696275218
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-03-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-03-01 to 2024-04-01","weekdays",false,60,60,13.18952941575531,791.3717649453185,766.5573764015454,827.7514275032343
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-01-01/2024-02-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-01-01 to 2024-02-01","weekdays",false,66,66,11.935892493030156,716.1535495818093,684.8697507839108,748.3424186511787
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-12-01/2024-01-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-12-01 to 2024-01-01","weekdays",false,57,38,12.529805823922361,751.7883494353416,711.2012528945713,807.2363084508656
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-11-01/2023-12-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-11-01 to 2023-12-01","weekdays",false,66,25,11.952196802315562,717.1318081389337,693.8860850758684,767.8758120587872
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-10-01/2023-11-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-10-01 to 2023-11-01","weekdays",false,63,21,11.79727741522924,707.8366449137544,630.5164282342606,746.6697045181662
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-09-01/2023-10-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-09-01 to 2023-10-01","weekdays",false,60,24,9.705925589733654,582.3555353840193,529.8627484058632,613.1919667950576
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-08-01/2023-09-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-08-01 to 2023-09-01","weekdays",false,66,39,7.986979071540403,479.21874429242416,450.6280100615587,505.39483579663005
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-07-01/2023-08-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-07-01 to 2023-08-01","weekdays",false,60,30,7.516337217679445,450.9802330607667,435.2644336392429,469.4109883208764
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-06-01/2023-07-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-06-01 to 2023-07-01","weekdays",false,66,39,8.541064289473358,512.4638573684015,482.741508644815,547.8439414692116
