URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30357505/30345882/0/1/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 00:00 to 01:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.041,362.443,352.706,371.164
"http://localhost:8072/aggregate-travel-times/30357505/30345882/0/1/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 00:00 to 01:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,4.735,284.105,257.729,300.288
"http://localhost:8072/aggregate-travel-times/30357505/30345882/1/2/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 01:00 to 02:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,5.843,350.587,339.293,361.791
"http://localhost:8072/aggregate-travel-times/30357505/30345882/1/2/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 01:00 to 02:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,4.615,276.89,260.433,290.667
"http://localhost:8072/aggregate-travel-times/30357505/30345882/2/3/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 02:00 to 03:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.394,383.653,362.42,404.955
"http://localhost:8072/aggregate-travel-times/30357505/30345882/2/3/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 02:00 to 03:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.677,340.632,307.408,376.795
"http://localhost:8072/aggregate-travel-times/30357505/30345882/3/4/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 03:00 to 04:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,5.847,350.83,332.205,368.484
"http://localhost:8072/aggregate-travel-times/30357505/30345882/3/4/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 03:00 to 04:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.762,345.737,,
"http://localhost:8072/aggregate-travel-times/30357505/30345882/4/5/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 04:00 to 05:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.241,374.473,366.644,381.544
"http://localhost:8072/aggregate-travel-times/30357505/30345882/4/5/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 04:00 to 05:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,4.834,290.023,289.958,290.088
"http://localhost:8072/aggregate-travel-times/30357505/30345882/5/6/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 05:00 to 06:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.638,398.307,388.241,407.29
"http://localhost:8072/aggregate-travel-times/30357505/30345882/5/6/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 05:00 to 06:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,,,,
"http://localhost:8072/aggregate-travel-times/30357505/30345882/6/7/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 06:00 to 07:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,7.114,426.854,413.465,440.787
"http://localhost:8072/aggregate-travel-times/30357505/30345882/6/7/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 06:00 to 07:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.792,347.515,332.769,362.023
"http://localhost:8072/aggregate-travel-times/30357505/30345882/7/8/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 07:00 to 08:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,7.981,478.86,468.178,490.846
"http://localhost:8072/aggregate-travel-times/30357505/30345882/7/8/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 07:00 to 08:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.519,391.113,371.178,406.282
"http://localhost:8072/aggregate-travel-times/30357505/30345882/8/9/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 08:00 to 09:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,9.83,589.797,574.644,608.548
"http://localhost:8072/aggregate-travel-times/30357505/30345882/8/9/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 08:00 to 09:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.811,468.662,434.598,491.525
"http://localhost:8072/aggregate-travel-times/30357505/30345882/9/10/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 09:00 to 10:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,9.728,583.703,569.979,598.084
"http://localhost:8072/aggregate-travel-times/30357505/30345882/9/10/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 09:00 to 10:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.17,490.228,463.816,512.595
"http://localhost:8072/aggregate-travel-times/30357505/30345882/10/11/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 10:00 to 11:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,9.563,573.801,560.331,587.855
"http://localhost:8072/aggregate-travel-times/30357505/30345882/10/11/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 10:00 to 11:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.188,491.256,461.349,519.888
"http://localhost:8072/aggregate-travel-times/30357505/30345882/11/12/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 11:00 to 12:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.393,623.606,608.519,636.751
"http://localhost:8072/aggregate-travel-times/30357505/30345882/11/12/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 11:00 to 12:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.925,475.485,464.864,486.446
"http://localhost:8072/aggregate-travel-times/30357505/30345882/12/13/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 12:00 to 13:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.994,659.634,640.965,673.983
"http://localhost:8072/aggregate-travel-times/30357505/30345882/12/13/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 12:00 to 13:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.895,473.725,459.964,486.863
"http://localhost:8072/aggregate-travel-times/30357505/30345882/13/14/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 13:00 to 14:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.435,626.086,613.962,642.029
"http://localhost:8072/aggregate-travel-times/30357505/30345882/13/14/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 13:00 to 14:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.005,480.271,457.039,500.465
"http://localhost:8072/aggregate-travel-times/30357505/30345882/14/15/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 14:00 to 15:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.445,626.672,612.925,640.141
"http://localhost:8072/aggregate-travel-times/30357505/30345882/14/15/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 14:00 to 15:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.016,480.949,466.442,492.384
"http://localhost:8072/aggregate-travel-times/30357505/30345882/15/16/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 15:00 to 16:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,12.344,740.656,724.641,764.993
"http://localhost:8072/aggregate-travel-times/30357505/30345882/15/16/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 15:00 to 16:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.659,519.519,504.871,531.728
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/17/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 17:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,12.55,752.978,733.591,774.622
"http://localhost:8072/aggregate-travel-times/30357505/30345882/16/17/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 16:00 to 17:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.958,477.461,464.601,490.556
"http://localhost:8072/aggregate-travel-times/30357505/30345882/17/18/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 17:00 to 18:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,11.969,718.142,693.477,742.857
"http://localhost:8072/aggregate-travel-times/30357505/30345882/17/18/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 17:00 to 18:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.099,485.922,468.296,502.744
"http://localhost:8072/aggregate-travel-times/30357505/30345882/18/19/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 18:00 to 19:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.278,616.701,602.805,630.835
"http://localhost:8072/aggregate-travel-times/30357505/30345882/18/19/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 18:00 to 19:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.967,477.999,461.098,498.608
"http://localhost:8072/aggregate-travel-times/30357505/30345882/19/20/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 19:00 to 20:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,8.709,522.535,512.794,533.77
