URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-02-01/2024-03-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-02-01 to 2024-03-01","weekdays",false,60,13.502,810.134,784.854,838.492
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-03-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-03-01 to 2024-04-01","weekdays",false,60,13.19,791.372,764.523,826.111
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-01-01/2024-02-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-01-01 to 2024-02-01","weekdays",false,66,11.936,716.154,690.999,742.333
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-12-01/2024-01-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-12-01 to 2024-01-01","weekdays",false,57,12.53,751.788,717.482,815.824
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-11-01/2023-12-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-11-01 to 2023-12-01","weekdays",false,66,11.952,717.132,695.484,766.838
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-10-01/2023-11-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-10-01 to 2023-11-01","weekdays",false,63,11.797,707.837,643.786,754.165
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-09-01/2023-10-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-09-01 to 2023-10-01","weekdays",false,60,9.706,582.356,532.58,611.522
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-08-01/2023-09-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-08-01 to 2023-09-01","weekdays",false,66,7.987,479.219,444.902,503.006
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-07-01/2023-08-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-07-01 to 2023-08-01","weekdays",false,60,7.516,450.98,432.739,475.337
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-06-01/2023-07-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-06-01 to 2023-07-01","weekdays",false,66,8.541,512.464,484.112,547.957
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-05-01/2023-06-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-05-01 to 2023-06-01","weekdays",false,66,9.474,568.459,543.167,598.791
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-04-01/2023-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-04-01 to 2023-05-01","weekdays",false,54,9.024,541.469,502.828,573.584
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-03-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-03-01 to 2023-04-01","weekdays",false,69,7.61,456.605,437.333,474.46
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-02-01/2023-03-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-02-01 to 2023-03-01","weekdays",false,57,7.865,471.872,449.45,491.927
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2023-01-01/2023-02-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2023-01-01 to 2023-02-01","weekdays",false,63,8.065,483.874,443.73,516.387
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-12-01/2023-01-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-12-01 to 2023-01-01","weekdays",false,60,9.027,541.647,516.056,581.384
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-11-01/2022-12-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-11-01 to 2022-12-01","weekdays",false,66,8.456,507.333,483.249,531.038
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-10-01/2022-11-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-10-01 to 2022-11-01","weekdays",false,60,8.32,499.227,478.898,528.007
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-09-01/2022-10-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-09-01 to 2022-10-01","weekdays",false,63,8.899,533.952,508.632,558.384
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-08-01/2022-09-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-08-01 to 2022-09-01","weekdays",false,66,7.544,452.623,435.587,474.082
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2024-04-01/2024-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2024-04-01 to 2024-05-01","weekdays",false,63,14.745,884.671,850.697,921.004
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-07-01/2022-08-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-07-01 to 2022-08-01","weekdays",false,60,7.932,475.9,451.108,496.227
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-06-01/2022-07-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-06-01 to 2022-07-01","weekdays",false,66,8.106,486.39,461.816,502.14
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-05-01/2022-06-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-05-01 to 2022-06-01","weekdays",false,63,8.5,510.025,490.9,521.837
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-04-01/2022-05-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-04-01 to 2022-05-01","weekdays",false,57,8.264,495.845,476.733,528.023
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/19/2022-03-01/2022-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 19:00","From 2022-03-01 to 2022-04-01","weekdays",false,69,7.554,453.266,434.371,476.445
