id,period,street,from_street,to_street,mean_tt
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.16
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.62
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.0
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.47
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,4.05
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.8
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.93
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.89
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.89
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.69
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.68
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.22
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.68
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.79
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.81
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.2
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,2.97
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.52
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.16
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.28
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.57
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.31
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.19
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.07
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.42
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.07
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.3
1,new range,BLOOR ST W,BLOOR ST W,CROFT ST,3.19
